ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
4160,0.002,0.000,0.006,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/DiscreteEventSim.py:29(__str__)
31609,0.010,0.000,0.014,0.000,/usr/lib/python3.11/queue.py:232(_qsize)
23253,0.010,0.000,0.044,0.000,/usr/lib/python3.11/queue.py:235(_put)
8304,0.002,0.000,0.043,0.000,/usr/lib/python3.11/queue.py:238(_get)
6,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/utils.py:152(wrapper_setattr)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/threading.py:1453(current_thread)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/weakref.py:164(__setitem__)
2,0.000,0.000,0.000,0.000,/usr/lib/python3.11/_weakrefset.py:53(_commit_removals)
31558,0.011,0.000,0.014,0.000,/usr/lib/python3.11/threading.py:274(__exit__)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/threading.py:811(_newname)
26,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:231(__call__)
4,0.000,0.000,0.000,0.000,/usr/lib/python3.11/logging/__init__.py:237(_releaseLock)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/threading.py:1221(daemon)
3,0.000,0.000,0.000,0.000,/usr/lib/python3.11/_weakrefset.py:85(add)
2,0.000,0.000,0.000,0.000,/usr/lib/python3.11/_weakrefset.py:110(remove)
1,0.000,0.000,0.014,0.014,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:116(create_mp_lock)
13,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:400(format_interval)
2,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:1301(<lambda>)
